mm_dd,temperature_2016_2020_celsius,temperature_2046_2050_celsius,change,temperature_2046_2050_celsius_feelslike
01-01,33.4,33.3,0.0,36.3
01-02,33.6,33.7,0.1,37.0
01-03,33.9,33.7,-0.2,37.5
01-04,33.6,34.0,0.4,37.9
01-05,33.6,33.9,0.3,36.9
01-06,33.4,32.8,-0.6,36.4
01-07,33.5,33.8,0.3,38.1
01-08,33.2,33.7,0.5,36.8
01-09,33.7,34.2,0.4,36.5
01-10,33.4,33.9,0.5,35.9
01-11,32.7,34.1,1.5,36.4
01-12,32.5,34.0,1.5,36.1
01-13,32.9,33.9,1.0,35.8
01-14,32.9,33.6,0.7,36.0
01-15,32.7,34.1,1.4,37.3
01-16,33.7,34.7,1.0,38.0
01-17,32.5,34.5,1.9,37.5
01-18,32.0,33.2,1.2,35.6
01-19,32.7,34.2,1.5,36.4
01-20,33.0,34.6,1.6,36.9
01-21,32.8,34.6,1.8,37.1
01-22,33.4,34.8,1.4,37.9
01-23,31.6,34.7,3.1,38.4
01-24,31.8,34.3,2.5,38.4
01-25,32.0,34.1,2.1,38.9
01-26,32.1,33.4,1.3,38.8
01-27,32.5,33.4,0.9,39.1
01-28,32.6,33.3,0.7,39.2
01-29,33.1,33.9,0.8,39.1
01-30,33.1,33.8,0.8,38.4
01-31,33.0,32.9,-0.2,38.3
02-01,32.8,32.0,-0.8,37.0
02-02,32.7,32.0,-0.8,36.7
02-03,33.6,32.4,-1.2,37.2
02-04,33.4,32.9,-0.5,37.6
02-05,33.5,31.9,-1.5,36.9
02-06,32.8,32.0,-0.8,37.3
02-07,32.4,32.4,0.0,38.1
02-08,31.9,31.9,0.0,37.2
02-09,31.7,32.1,0.4,36.2
02-10,31.8,32.8,0.9,37.0
02-11,32.0,33.1,1.1,37.6
02-12,31.0,32.9,2.0,37.7
02-13,31.2,32.7,1.6,37.9
02-14,31.3,32.2,0.9,37.9
02-15,31.0,31.8,0.8,37.5
02-16,31.7,31.5,-0.2,37.3
02-17,31.7,31.4,-0.3,36.9
02-18,31.7,30.4,-1.3,35.4
02-19,31.7,31.4,-0.3,37.2
02-20,31.5,31.7,0.2,37.3
02-21,31.2,31.4,0.1,36.6
02-22,31.0,31.6,0.6,37.1
02-23,30.7,31.6,1.0,37.4
02-24,29.0,31.6,2.5,37.6
02-25,30.0,31.3,1.4,37.3
02-26,30.4,31.7,1.3,37.7
02-27,30.7,31.4,0.7,37.2
02-28,30.4,31.4,1.0,37.2
03-01,31.2,32.2,1.1,37.7
03-02,30.3,32.1,2.0,37.4
03-03,29.6,32.8,2.5,38.9
03-04,30.5,32.7,2.3,38.7
03-05,30.5,32.8,2.2,38.9
03-06,30.7,31.6,2.1,37.5
03-07,29.1,31.2,2.5,37.0
